Percentage of Weights pruned,Test Accuracy
0,93.68085433312845
tensor(20.0008),93.67317148125383
tensor(36.0013),94.02274124154886
tensor(48.8016),93.95743700061462
tensor(59.0421),94.32621389059618
tensor(67.2346),94.26859250153656
tensor(73.7884),94.09188690842039
tensor(79.0314),94.18408113091579
tensor(83.2259),94.03426551936079
tensor(86.5818),94.14566687154272
tensor(89.2661),93.48110018438844
tensor(91.4138),93.4081130915796
tensor(93.1321),93.36969883220651
tensor(94.5062),93.11232329440688
tensor(95.6060),93.18146896127843
tensor(96.4856),92.69360786724032
tensor(97.1894),92.46696373693915
tensor(97.7526),91.94068838352796
tensor(98.2028),90.83435771358327
tensor(98.5630),90.30039950829747
tensor(98.8512),89.63199139520589
