Percentage of Weights pruned,Test Accuracy
0,93.24293177627536
tensor(20.0018),93.48878303626306
tensor(36.0033),93.94975414874
tensor(48.8051),93.66933005531652
tensor(59.0463),93.91902274124155
tensor(67.2395),93.68853718500306
tensor(73.7943),93.55024585125999
tensor(79.0373),93.66164720344192
tensor(83.2317),93.75768285187462
tensor(86.5869),93.45421020282728
tensor(89.2723),90.97649047326367
tensor(91.4203),91.65258143822986
tensor(93.1387),91.88306699446834
tensor(94.5137),91.72556853103872
tensor(95.6131),88.35663798401966
