Percentage of Weights pruned,Test Accuracy
0,94.71035648432698
tensor(20.0007),95.07913337430853
tensor(36.0009),94.65657652120466
tensor(48.8013),95.27120467117393
tensor(59.0416),95.27888752304855
tensor(67.2337),95.17516902274123
tensor(73.7874),95.00614628149968
tensor(79.0303),95.00230485556239
tensor(83.2246),95.02919483712353
tensor(86.5803),95.25968039336202
tensor(89.2647),94.91395205900429
tensor(91.4123),95.14827904118007
tensor(93.1303),94.86017209588198
tensor(94.5046),94.94468346650275
tensor(95.6043),94.55669944683466
tensor(96.4841),94.15719114935463
tensor(97.1879),93.5617701290719
tensor(97.7508),93.61939151813152
tensor(98.2013),92.90104486785495
tensor(98.5614),92.62830362630608
tensor(98.8498),92.20574677320221
tensor(99.0803),87.94944683466503
