Percentage of Weights pruned,Test Accuracy
0,93.32744314689612
tensor(20.0008),93.66164720344192
tensor(36.0013),93.84987707437
tensor(48.8016),94.25706822372464
tensor(59.0421),94.06499692685925
tensor(67.2346),93.94975414874
tensor(73.7884),94.06883835279655
tensor(79.0314),94.31084818684695
tensor(83.2259),93.99200983405039
tensor(86.5818),94.16487400122925
tensor(89.2661),93.85371850030731
tensor(91.4138),93.71542716656423
tensor(93.1321),93.35433312845728
tensor(94.5062),92.98555623847572
tensor(95.6060),92.40934234787953
tensor(96.4856),92.22879532882605
tensor(97.1894),91.58727719729562
tensor(97.7526),90.27735095267363
tensor(98.2028),90.28119237861092
tensor(98.5630),88.96358328211431
