Percentage of Weights pruned,Test Accuracy
0,92.24416103257529
tensor(20.0018),92.72433927473878
tensor(36.0033),92.93945912722802
tensor(48.8051),93.38122311001842
tensor(59.0463),93.28134603564843
tensor(67.2395),93.29287031346036
tensor(73.7943),93.32744314689612
tensor(79.0373),93.15457897971726
tensor(83.2317),93.09311616472033
tensor(86.5869),92.96634910878917
tensor(89.2723),92.84342347879532
tensor(91.4203),92.89720344191763
tensor(93.1387),92.2518438844499
tensor(94.5137),91.88690842040565
tensor(95.6131),91.18776889981561
tensor(96.4924),90.26966810079901
tensor(97.1960),88.5218192993239
