Percentage of Weights pruned,Test Accuracy
0,93.899815611555
tensor(20.0007),94.3338967424708
tensor(36.0010),94.1917639827904
tensor(48.8019),94.42609096496619
tensor(59.0422),94.72956361401351
tensor(67.2344),94.62584511370619
tensor(73.7882),94.59511370620774
tensor(79.0310),94.51060233558695
tensor(83.2252),94.5298094652735
tensor(86.5805),94.47218807621388
tensor(89.2650),94.36846957590657
tensor(91.4126),94.20712968653963
tensor(93.1306),93.83451137062076
tensor(94.5048),93.69237861094038
tensor(95.6045),93.30439459127227
tensor(96.4841),93.0777504609711
tensor(97.1879),92.83574062692071
tensor(97.7506),91.79855562384756
tensor(98.2010),91.16472034419175
tensor(98.5614),88.9559004302397
