Percentage of Weights pruned,Test Accuracy
0,93.74231714812538
tensor(20.0008),94.20712968653963
tensor(36.0017),94.29548248309771
tensor(48.8024),94.23017824216349
tensor(59.0430),94.19560540872772
tensor(67.2353),94.39535955746773
tensor(73.7890),94.34542102028271
tensor(79.0321),94.06115550092193
tensor(83.2263),94.20712968653963
tensor(86.5821),94.3838352796558
tensor(89.2662),94.17255685310386
tensor(91.4139),93.91902274124155
tensor(93.1322),93.79225568531038
tensor(94.5065),93.63091579594345
tensor(95.6058),93.48494161032575
tensor(96.4857),93.0239704978488
tensor(97.1895),92.66287645974185
tensor(97.7523),92.24800245851259
tensor(98.2028),92.17117393976643
tensor(98.5631),91.67562999385372
tensor(98.8516),90.79594345421019
tensor(99.0821),89.83558696988321
