Percentage of Weights pruned,Test Accuracy
0,93.27750460971112
tensor(20.0018),93.50414874001228
tensor(36.0033),93.68085433312845
tensor(48.8051),93.91133988936693
tensor(59.0463),94.11109403810694
tensor(67.2395),93.71926859250152
tensor(73.7943),93.85371850030731
tensor(79.0373),93.99200983405039
tensor(83.2317),93.899815611555
tensor(86.5869),93.81530424093422
tensor(89.2723),93.39658881376766
tensor(91.4203),93.43884449907806
tensor(93.1387),92.85494775660725
tensor(94.5137),92.87799631223109
tensor(95.6131),92.32483097725876
tensor(96.4924),91.76398279041179
tensor(97.1960),91.50660725261216
tensor(97.7596),90.23509526736323
tensor(98.2092),87.77274124154886
