Percentage of Weights pruned,Test Accuracy
0,94.30700676090964
tensor(20.0007),94.53365089121081
tensor(36.0009),94.79102642901044
tensor(48.8013),94.69883220651505
tensor(59.0416),94.83328211432082
tensor(67.2337),94.76797787338658
tensor(73.7874),94.67962507682851
tensor(79.0303),94.74877074370005
tensor(83.2246),94.57590657652119
tensor(86.5803),94.6757836508912
tensor(89.2647),94.54133374308542
tensor(91.4123),94.33005531653349
tensor(93.1303),94.46834665027659
tensor(94.5046),94.30700676090964
tensor(95.6043),94.06499692685925
tensor(96.4841),93.74231714812538
tensor(97.1879),93.20835894283958
tensor(97.7508),92.98555623847572
tensor(98.2013),92.84342347879532
tensor(98.5614),92.74738783036263
tensor(98.8498),92.37092808850645
tensor(99.0803),90.95344191763982
tensor(99.2648),89.70881991395206
