Percentage of Weights pruned,Test Accuracy
0,94.39535955746773
tensor(20.0007),94.37615242778118
tensor(36.0009),94.37999385371849
tensor(48.8013),94.50291948371235
tensor(59.0416),94.50676090964966
tensor(67.2337),94.30700676090964
tensor(73.7874),94.46450522433926
tensor(79.0303),94.61432083589428
tensor(83.2246),94.70267363245236
tensor(86.5803),94.6220036877689
tensor(89.2647),94.34542102028271
tensor(91.4123),94.41840811309157
tensor(93.1303),94.39920098340502
tensor(94.5046),94.3838352796558
tensor(95.6043),94.2417025199754
tensor(96.4841),93.73079287031345
tensor(97.1879),93.85755992624462
tensor(97.7508),93.43116164720342
tensor(98.2013),93.20451751690226
tensor(98.5614),92.44391518131529
tensor(98.8498),92.15964966195452
tensor(99.0803),91.25691456668714
tensor(99.2648),90.93423478795329
