Percentage of Weights pruned,Test Accuracy
0,93.76152427781192
tensor(20.0007),94.29164105716042
tensor(36.0009),94.51060233558695
tensor(48.8013),94.40304240934235
tensor(59.0416),94.46066379840195
tensor(67.2337),94.47218807621388
tensor(73.7874),94.34157959434542
tensor(79.0303),94.69883220651505
tensor(83.2246),94.56822372464659
tensor(86.5803),94.59895513214505
tensor(89.2647),94.48371235402581
tensor(91.4123),94.1379840196681
tensor(93.1303),94.06883835279655
tensor(94.5046),93.7039028887523
tensor(95.6043),93.4081130915796
tensor(96.4841),93.15073755377996
tensor(97.1879),92.84342347879532
tensor(97.7508),92.49385371850029
tensor(98.2013),91.61800860479408
tensor(98.5614),91.35295021511985
