Percentage of Weights pruned,Test Accuracy
0,94.50676090964966
tensor(20.0007),94.53365089121081
tensor(36.0010),94.5298094652735
tensor(48.8015),94.79870928088505
tensor(59.0418),94.69114935464043
tensor(67.2340),94.66041794714198
tensor(73.7878),94.76413644744929
tensor(79.0306),94.64889366933005
tensor(83.2252),94.71419791026429
tensor(86.5805),94.55285802089735
tensor(89.2650),94.74877074370005
tensor(91.4126),94.62968653964352
tensor(93.1306),94.35694529809464
tensor(94.5048),94.08036263060848
tensor(95.6045),93.91902274124155
tensor(96.4841),93.59634296250768
tensor(97.1879),93.24677320221265
tensor(97.7506),92.72818070067609
tensor(98.2010),92.09818684695759
tensor(98.5614),91.67947141979101
tensor(98.8496),91.14551321450521
