Percentage of Weights pruned,Test Accuracy
0,93.66933005531652
tensor(20.0007),94.00353411186232
tensor(36.0010),94.30316533497233
tensor(48.8015),94.36462814996926
tensor(59.0418),94.46834665027659
tensor(67.2340),94.47218807621388
tensor(73.7878),94.34542102028271
tensor(79.0306),94.48371235402581
tensor(83.2252),94.2378610940381
tensor(86.5805),94.4337738168408
tensor(89.2650),94.12261831591886
tensor(91.4126),94.20328826060232
tensor(93.1306),94.17639827904118
tensor(94.5048),93.55024585125999
tensor(95.6045),93.39274738783035
tensor(96.4841),92.90488629379225
tensor(97.1879),92.5437922556853
tensor(97.7506),91.89843269821758
tensor(98.2010),91.02642901044867
tensor(98.5614),90.11601106330669
