Percentage of Weights pruned,Test Accuracy
0,94.26090964966195
tensor(20.0007),94.35310387215733
tensor(36.0010),94.36846957590657
tensor(48.8015),94.59127228027043
tensor(59.0418),94.47987092808849
tensor(67.2340),94.71035648432698
tensor(73.7878),94.70267363245236
tensor(79.0306),94.49907805777504
tensor(83.2252),94.51444376152426
tensor(86.5805),94.58358942839581
tensor(89.2650),94.24938537185002
tensor(91.4126),94.39920098340502
tensor(93.1306),94.15334972341732
tensor(94.5048),94.26475107559925
tensor(95.6045),93.7077443146896
tensor(96.4841),93.66164720344192
tensor(97.1879),93.37354025814382
tensor(97.7506),93.16226183159188
tensor(98.2010),92.29025814382298
tensor(98.5614),91.74093423478794
tensor(98.8496),91.06100184388444
tensor(99.0801),90.13137676705593
