Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,28.050889103252462,40.29158021185978,44.21097111247695
1,71.55597619350964,75.39587201048379,72.69898586355255
2,83.17893089201537,80.93261985366387,81.25768285187462
3,86.33856906248295,82.80004368242875,81.81853103872156
4,87.73638134066215,83.29693130938081,85.17593730792869
5,88.61365415066524,87.11914382439664,86.54732636754763
6,89.4818266203156,86.8570492519384,87.1657959434542
7,89.80761880494332,82.20487059080484,76.52504609711124
8,90.33361847733106,89.24866222561974,87.67286416717886
9,90.6648708661704,87.79076116632085,88.28365089121081
10,92.59778315709009,92.10986130828874,92.46696373693915
11,93.14926378246547,92.41017800589712,92.62062077443146
12,93.26756820705096,92.65589166757671,92.3978180700676
13,93.2257066414284,92.6067489352408,92.61677934849415
14,93.41681378883571,92.55760620290488,92.60141364474492
15,93.7662668583805,92.66681227476248,92.82421634910878
16,93.67344338678268,92.85792290051327,92.92025199754148
17,93.75716651802777,92.9289068472207,93.00860479409955
18,93.7972080155798,92.70503439991263,92.9240934234788
19,93.74260597346341,92.7978595609916,92.93561770129071
20,93.91369237209473,92.98350988314951,92.91256914566686
21,93.8772910106838,92.62312984601944,93.00860479409955
22,93.76444679030996,92.688653489134,92.97019053472648
23,93.7699069945216,92.85792290051327,92.97019053472648
24,93.76444679030996,92.94528775799935,92.98939766441302
