Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,47.54199807072785,77.67281860871465,77.90027658266749
1,89.18151538867555,89.53805831604237,89.9738783036263
2,92.26653076825075,92.17538495140329,91.48355869698831
3,93.54421855377392,93.12547777656438,91.69099569760294
4,94.39055020657773,94.88915583706455,93.18915181315303
5,95.21686111060555,94.78541006879982,92.10971112476952
6,95.8429645268733,95.5225510538386,92.20958819913952
7,96.28888120415704,95.86108987659713,92.62830362630608
8,96.85310230602624,96.13956535983401,92.09050399508297
9,97.15341353766631,96.19962869935569,92.7358635525507
10,98.98622208470597,98.03975101015617,93.10464044253226
11,99.60140509255046,98.10527465327073,93.08543331284572
12,99.79979251223996,98.15441738560664,92.95866625691455
13,99.85439455435635,98.17625859997815,93.08927473878302
14,99.88715577962617,98.20356011794256,93.08927473878302
15,99.9126367326138,98.19263951075679,93.00476336816226
16,99.90535646033162,98.20902042153544,93.0278119237861
17,99.91445680068435,98.19263951075679,92.97787338660109
18,99.92173707296654,98.19809981434969,92.96634910878917
19,99.93447754946035,98.20356011794256,92.95482483097726
20,99.93083741331927,98.18171890357104,92.93561770129071
21,99.92719727717817,98.15987768919953,92.87031346035648
22,99.92901734524871,98.15441738560664,92.88567916410571
23,99.93265748138981,98.18717920716392,92.85110633066994
24,99.92537720910762,98.19263951075679,92.8818377381684
0,41.936188413446665,70.66724909904991,73.29824830977259
1,84.26915166627232,82.9201703614721,82.0720651505839
2,87.96570991755092,87.83444359506389,88.88291333743085
3,89.23975756693301,89.43431254777767,90.42332513829132
4,89.98416540778625,88.46237850824507,87.41933005531652
5,90.510165080174,88.9101234028612,90.42716656422863
6,90.77043481426206,89.2595828328055,88.40273509526736
7,91.19451067469923,90.77754723162607,90.68454210202826
8,91.39289809438873,89.39063011903463,88.73693915181315
9,91.49482190633931,89.94758108550836,90.54625076828518
10,93.29304916003859,93.27290597357212,93.93438844499077
11,93.79538794750924,93.13639838375013,93.88444990780577
12,93.95009373350564,93.41487386698701,94.15334972341732
13,94.04109713703293,93.36573113465109,94.30700676090964
14,94.17396210618277,93.31658840231518,94.14182544560539
