Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,25.198842436707135,44.19569728076881,41.36447449293178
1,67.34979888247821,69.92464781041826,67.22111247695143
2,82.12329141109878,81.06912744348585,77.51613398893669
3,85.58506088127696,85.89603581959156,84.90703749231714
4,87.09753744790055,84.96232390520913,84.20405654578978
5,88.39888611834084,86.93349350223872,85.39874001229255
6,88.87756402089438,86.17997160642132,83.00553165334972
7,89.36716233187121,88.57158458010265,88.48724646588812
8,89.5928507726189,87.40307961122639,87.71511985248924
9,90.15889194255865,87.89996723817845,86.35525507068223
10,92.0863440292667,91.7440209675658,92.02904118008604
11,92.84167227854321,91.96789341487387,91.98294406883835
12,93.02913928980945,92.00065523643116,92.26336816226183
13,93.10740221684291,92.14262312984603,92.43239090350338
14,93.01093860910399,92.34465436278258,92.53226797787339
15,93.24390732213385,92.37195588074697,92.49385371850029
16,93.51691753271572,92.42655891667577,92.55531653349722
17,93.5514988260561,92.32827345200393,92.62446220036877
18,93.44775494603499,92.54668559571913,92.57068223724646
19,93.42955426532953,92.38287648793273,92.57068223724646
20,93.547858689915,92.47570164901168,92.56299938537185
21,93.52965800920956,92.37741618433985,92.60141364474492
22,93.5514988260561,92.4975428633832,92.5437922556853
23,93.52055766885682,92.38287648793273,92.56684081130915
24,93.43319440147062,92.37195588074697,92.55531653349722
0,28.050889103252462,40.29158021185978,44.21097111247695
1,71.55597619350964,75.39587201048379,72.69898586355255
2,83.17893089201537,80.93261985366387,81.25768285187462
3,86.33856906248295,82.80004368242875,81.81853103872156
4,87.73638134066215,83.29693130938081,85.17593730792869
5,88.61365415066524,87.11914382439664,86.54732636754763
6,89.4818266203156,86.8570492519384,87.1657959434542
7,89.80761880494332,82.20487059080484,76.52504609711124
8,90.33361847733106,89.24866222561974,87.67286416717886
9,90.6648708661704,87.79076116632085,88.28365089121081
10,92.59778315709009,92.10986130828874,92.46696373693915
11,93.14926378246547,92.41017800589712,92.62062077443146
12,93.26756820705096,92.65589166757671,92.3978180700676
13,93.2257066414284,92.6067489352408,92.61677934849415
14,93.41681378883571,92.55760620290488,92.60141364474492
15,93.7662668583805,92.66681227476248,92.82421634910878
16,93.67344338678268,92.85792290051327,92.92025199754148
17,93.75716651802777,92.9289068472207,93.00860479409955
18,93.7972080155798,92.70503439991263,92.9240934234788
19,93.74260597346341,92.7978595609916,92.93561770129071
20,93.91369237209473,92.98350988314951,92.91256914566686
21,93.8772910106838,92.62312984601944,93.00860479409955
22,93.76444679030996,92.688653489134,92.97019053472648
23,93.7699069945216,92.85792290051327,92.97019053472648
24,93.76444679030996,92.94528775799935,92.98939766441302
0,35.26199879875507,62.12733427978596,55.12062077443146
1,77.91347396392626,78.09872228895927,74.41226183159189
2,84.39655643121054,84.9459429944305,83.54333128457283
3,86.54241668638407,83.12220159440865,78.25368776889981
4,87.92384835192837,83.59178770339632,82.46389059618929
5,88.68645687348707,87.66517418368461,86.22080516287646
6,89.40538376135268,88.40231516872338,88.7638291333743
7,89.67293376772292,88.89374249208257,89.0058389674247
8,90.04058751797318,87.85082450584252,85.04148740012292
9,90.29357697977905,83.04029704051545,82.97095881991395
10,92.25197022368637,92.07163918313859,92.35556238475722
11,92.78707023642684,92.13716282625313,92.71665642286416
12,92.98181751997525,92.21360707655346,92.77043638598647
13,93.10012194456073,92.56306650649776,92.739704978488
14,93.29122909196805,92.4484001310473,92.75507068223725
15,93.25300766248658,92.57398711368351,92.94330055316533
16,93.53511821342119,92.63405045320519,92.90104486785495
17,93.48415630744591,92.65589166757671,92.9740319606638
18,93.47323589902263,92.67227257835535,92.98555623847572
19,93.58243998325538,92.62312984601944,92.95866625691455
20,93.60792093624302,92.73779622146992,92.91256914566686
21,93.59700052781974,92.6067489352408,92.91256914566686
22,93.64796243379503,92.79239925739871,92.95482483097726
23,93.67890359099431,92.63405045320519,92.98555623847572
24,93.58790018746703,92.71049470350552,92.92793484941609
0,34.19907904555631,65.9440864912089,60.11447449293177
