Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,47.54199807072785,77.67281860871465,77.90027658266749
1,89.18151538867555,89.53805831604237,89.9738783036263
2,92.26653076825075,92.17538495140329,91.48355869698831
3,93.54421855377392,93.12547777656438,91.69099569760294
4,94.39055020657773,94.88915583706455,93.18915181315303
5,95.21686111060555,94.78541006879982,92.10971112476952
6,95.8429645268733,95.5225510538386,92.20958819913952
7,96.28888120415704,95.86108987659713,92.62830362630608
8,96.85310230602624,96.13956535983401,92.09050399508297
9,97.15341353766631,96.19962869935569,92.7358635525507
10,98.98622208470597,98.03975101015617,93.10464044253226
11,99.60140509255046,98.10527465327073,93.08543331284572
12,99.79979251223996,98.15441738560664,92.95866625691455
13,99.85439455435635,98.17625859997815,93.08927473878302
14,99.88715577962617,98.20356011794256,93.08927473878302
15,99.9126367326138,98.19263951075679,93.00476336816226
16,99.90535646033162,98.20902042153544,93.0278119237861
17,99.91445680068435,98.19263951075679,92.97787338660109
18,99.92173707296654,98.19809981434969,92.96634910878917
19,99.93447754946035,98.20356011794256,92.95482483097726
20,99.93083741331927,98.18171890357104,92.93561770129071
21,99.92719727717817,98.15987768919953,92.87031346035648
22,99.92901734524871,98.15441738560664,92.88567916410571
23,99.93265748138981,98.18717920716392,92.85110633066994
24,99.92537720910762,98.19263951075679,92.8818377381684
0,34.286442312942505,52.828437261111716,50.79133374308543
1,81.24237846495458,86.61133559025882,86.69714197910264
2,88.38250550570592,88.22212515015835,89.47065150583896
3,89.98416540778625,90.13323140766627,91.11478180700675
4,90.94152121289338,89.87659713880092,90.29271665642285
5,91.6495276923357,90.94135633941247,91.27996312231099
6,92.14458620752417,91.90236977175931,92.93945912722802
7,92.60688349744282,91.416402751993,92.79732636754763
8,92.71972771781665,91.96789341487387,93.5079901659496
9,93.23844711792222,92.14262312984603,92.76275353411185
10,94.62897912381924,93.56776236758763,95.09834050399508
11,95.17863968112408,93.84077754723162,95.28657037492316
12,95.39522778151903,93.81347602926724,95.45943454210202
13,95.59361520120852,93.93906301190347,95.29425322679778
14,95.68643867280637,93.89538058316043,95.38644744929317
