Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,25.284385636022787,28.579229005132685,25.952673632452367
1,49.414848115319515,43.54592115321612,36.10172095881991
2,62.03884025262545,48.25816315387136,46.16241548862938
3,67.64829004604772,60.68035382767282,56.077135832821135
4,70.17818466410645,69.64617232718139,63.44114935464044
5,72.04557450448648,69.73353718466747,63.12999385371849
6,73.11395446189688,71.00032761821558,68.60018438844499
7,73.86382250696177,63.51425139237742,58.028580208973565
8,74.23329632528257,61.941683957628044,58.95436385986478
9,75.2943960104108,68.13366823195369,61.240012292562994
10,79.56063556777025,80.10811401113902,77.2741241548863
11,80.67815736308539,79.98798733209567,78.01936078672402
12,80.81102233223523,80.50671617341925,78.50338045482482
13,80.99848934350146,80.84525499617779,78.08850645359556
14,81.19323662704986,80.32652615485422,77.79655808236016
15,81.76291793313071,81.1892541225292,79.04502151198525
16,81.7192362994376,81.0855083542645,79.05654578979716
17,81.92854412755037,81.19471442612209,79.28703134603565
18,81.74653732049579,81.38036474828002,79.29087277197296
19,81.88304242578674,81.47865021295185,79.08343577135832
20,82.05230875634749,81.28207928360817,79.2678242163491
21,82.06140909670022,81.26569837282953,79.31007990165949
22,81.89396283421001,81.32576171235121,79.32928703134603
23,81.9376444679031,81.41858687343017,79.30623847572218
24,81.87394208543401,81.15649230097193,79.37922556853103
