Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,21.22563383870557,26.433329693130936,26.171634910878915
1,35.1436943741696,36.70962105493065,33.9658881376767
2,60.92495859345139,55.42208146772961,49.20098340503994
3,71.30298673170377,68.24287430381129,65.51551936078673
4,75.2943960104108,72.92235448290924,70.14443761524277
5,77.7842491309175,69.32947471879437,69.41072526121695
6,79.05829678029959,75.36857049251938,74.6581130915796
7,80.02111278961833,79.0051326853773,77.60064535955746
8,80.81830260451741,68.75614284154199,64.67424708051628
9,81.5044682671132,75.82723599432128,72.86416717885679
10,84.82973263200044,85.30086272796767,85.32959434542101
11,85.45765611633875,85.51381456808998,85.14136447449292
12,85.73794659920281,85.56295730042591,85.28349723417332
13,85.9872959248676,85.22987878126024,85.41026429010448
14,86.00185646943196,85.69400458665501,85.17209588199138
15,86.43321260215131,86.09806705252812,85.73294406883835
16,86.47325409970334,86.31101889265044,85.79440688383528
17,86.54423675445462,86.20727312438572,85.92501536570374
18,86.50419525690262,86.19635251719995,85.8059311616472
19,86.61885954534701,86.3492410178006,85.95958819913952
20,86.70258267659212,86.17451130282844,85.94806392132759
21,86.5951986604299,86.0762258381566,85.98263675476336
22,86.5951986604299,86.21819373157147,86.06714812538414
23,86.5751779116539,86.32193949983619,85.93269821757836
24,86.60247893271209,86.11990826689964,86.04409956976029
0,25.284385636022787,28.579229005132685,25.952673632452367
1,49.414848115319515,43.54592115321612,36.10172095881991
2,62.03884025262545,48.25816315387136,46.16241548862938
3,67.64829004604772,60.68035382767282,56.077135832821135
4,70.17818466410645,69.64617232718139,63.44114935464044
5,72.04557450448648,69.73353718466747,63.12999385371849
6,73.11395446189688,71.00032761821558,68.60018438844499
7,73.86382250696177,63.51425139237742,58.028580208973565
8,74.23329632528257,61.941683957628044,58.95436385986478
9,75.2943960104108,68.13366823195369,61.240012292562994
10,79.56063556777025,80.10811401113902,77.2741241548863
11,80.67815736308539,79.98798733209567,78.01936078672402
12,80.81102233223523,80.50671617341925,78.50338045482482
13,80.99848934350146,80.84525499617779,78.08850645359556
14,81.19323662704986,80.32652615485422,77.79655808236016
15,81.76291793313071,81.1892541225292,79.04502151198525
16,81.7192362994376,81.0855083542645,79.05654578979716
17,81.92854412755037,81.19471442612209,79.28703134603565
18,81.74653732049579,81.38036474828002,79.29087277197296
19,81.88304242578674,81.47865021295185,79.08343577135832
20,82.05230875634749,81.28207928360817,79.2678242163491
21,82.06140909670022,81.26569837282953,79.31007990165949
22,81.89396283421001,81.32576171235121,79.32928703134603
23,81.9376444679031,81.41858687343017,79.30623847572218
24,81.87394208543401,81.15649230097193,79.37922556853103
0,21.970041679558815,26.657202140439008,26.528887523048557
1,35.12367362539359,25.23752320629027,21.642593730792868
2,57.17743843619751,54.32456044556078,51.39443761524277
3,68.1196876763191,61.739652724691496,61.45897357098955
4,72.06923538940356,67.78966910560227,64.13644744929317
5,74.8175381759278,75.28120563503332,71.93454210202826
6,76.24083140709463,73.54482909249754,69.61047940995697
7,77.51669912454726,67.84427214153106,63.67547633681622
8,78.2010447190725,76.81009064103964,72.2879532882606
9,79.26396447227127,76.56437697936005,72.05746773202212
10,83.04970605900661,83.53718466746751,81.11170866625692
11,83.82505505705915,83.93032652615486,82.13736939151812
12,84.32739384452978,83.84842197226166,82.46004917025199
13,84.21454962415595,83.87026318663318,82.78272894898586
14,84.38199588664617,83.73375559681119,82.32944068838353
15,85.0463207323954,84.54734083215027,82.82882606023355
16,85.14278434013433,84.42175384951403,83.10540872771972
17,85.13004386364051,84.82035601179426,83.05547019053472
18,85.34845203210601,84.76575297586547,83.09388444990779
19,85.19556631418016,84.44359506388555,82.94022741241548
20,85.34117175982382,84.71114993993666,83.03242163491088
21,85.26290883279034,84.70568963634378,82.94406883835279
22,85.1537047485576,84.92410178005898,82.93638598647817
23,85.26836903700199,84.59648356448619,83.05162876459741
24,85.15006461241651,84.6183247788577,83.09388444990779
0,23.43701654441876,26.92475701649012,23.617086662569147
1,47.909651820978105,44.512394889155836,43.25445605408728
2,65.23669985257449,59.94867314622693,53.08466502765826
3,70.37839215186649,70.84197881402206,68.77688998156115
4,73.53803032233405,70.60172545593535,65.14674247080515
5,75.16881131354313,70.95664518947254,63.72925629993853
6,76.72678958193036,70.52528120563504,69.32237246465888
7,77.27645013923521,63.34498198099815,61.99677320221265
8,78.01357770780628,74.14000218412143,69.17639827904118
9,79.25122399577744,75.02457136616796,71.60417947141978
10,83.02786524216006,82.88740853991482,79.90165949600491
11,83.61028702473473,83.69007316806815,81.48816840811308
12,83.7995741040715,83.68461286447526,82.44084204056546
13,84.09260506342939,83.85934257944741,81.5880454824831
14,84.02162240867808,83.82112045429726,81.8838352796558
15,84.59676391897058,84.55280113574315,82.87108174554393
16,84.61678466774659,84.6183247788577,82.84419176398279
17,84.75510984110807,84.61286447526483,82.88260602335586
18,84.72234861583824,84.36715081358524,82.73663183773816
19,84.82973263200044,84.28524625969203,82.68669330055316
20,84.8442931765648,84.60740417167194,83.0477873386601
21,84.8078918151539,84.6183247788577,82.85955746773202
22,84.78605099830733,84.53642022496452,83.00937307928703
23,84.8042516790128,84.71114993993666,82.97480024585126
24,84.85157344884699,84.58556295730043,83.07467732022126
0,29.601587099357516,43.529540242437484,42.866472034419175
1,55.05523906594107,56.688871901277714,56.87615242778119
2,68.3617567297017,56.3667139892978,58.90442532267978
3,73.18129698050707,53.96418040843071,50.587738168408116
4,75.36901880130318,65.04313639838375,64.67424708051628
5,76.70130862894273,74.89898438353173,72.70666871542716
6,77.86615219409207,72.33810199847112,73.28288260602335
7,78.57051853739331,74.21098613082887,71.5657652120467
8,79.21482263436653,69.24757016490118,68.76536570374923
9,79.3804488287862,45.76826471551818,41.583435771358324
10,83.16619041552154,82.75636125368571,82.33712354025813
11,84.09078499535883,83.48258163153871,82.54456054087277
12,84.38381595471671,84.06137381238396,83.69698832206515
13,84.6295251442404,84.23610352735612,84.09265519360785
14,84.72234861583824,84.37261111717812,84.1080208973571
15,85.31387073876564,84.38353172436388,84.57283343577136
16,85.31569080683619,84.60740417167194,84.50368776889981
17,85.33753162368272,84.81489570820138,84.53441917639827
18,85.44673570791548,84.63470568963635,84.4998463429625
19,85.40487414229293,84.73845145790106,84.64966195451751
20,85.44127550370384,84.55826143933602,84.51521204671172
21,85.47767686511476,84.63470568963635,84.55362630608482
22,85.58688094934752,84.77121327945834,84.5421020282729
23,85.62874251497007,84.90772086928034,84.64197910264289
24,85.62874251497007,84.73299115430818,84.64197910264289
