Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,29.645268733050617,40.12777110407339,38.04548248309772
1,59.77831570900752,62.06727094026427,60.59849416103257
2,71.6651802777424,63.84186960795021,63.064689612784264
3,76.40827766958485,73.18990935896036,75.69145666871542
4,78.88539031359774,73.83968548651305,74.58512599877074
5,80.1903791201791,78.83586327399803,78.74154886293792
6,80.98392879893709,77.04488369553347,77.45082974800245
7,81.6955754145205,78.63383204106148,80.63921327596803
8,82.3781009409752,79.39281424047178,78.99508297480024
9,82.48730502520795,82.24855301954788,82.18730792870312
10,86.1583823234989,85.74860762258382,87.27719729563613
11,86.99379356787944,86.04346401659933,87.38091579594345
12,87.29228473144897,85.91241673037021,87.5038414259373
13,87.31412554829551,86.11444796330676,87.65749846342962
14,87.51069289991446,86.00524189144917,87.8380454824831
15,88.09129461441859,86.1581303920498,87.96481253841425
16,88.14225652039387,86.40930435732227,87.96097111247695
17,88.2150592432157,86.3983837501365,87.9417639827904
18,88.2387201281328,86.44206617887956,87.97249539028886
19,88.16227726916988,86.41476466091514,87.96865396435156
20,88.27148135340262,86.44206617887956,87.90334972341732
21,88.26602114919099,86.4256852681009,87.98017824216349
22,88.33882387201282,86.42022496450804,87.96097111247695
23,88.3297235316601,86.52397073277275,87.95712968653963
24,88.37340516535319,86.38746314295075,87.9917025199754
0,24.416213166372426,26.00196570929344,24.84250153657037
1,57.237500682525535,43.518619635251724,45.28272894898586
2,76.99615965637115,70.61810636671399,74.77335586969882
3,81.93400433176201,73.03702085835972,76.20236631837739
4,84.18178839888613,79.89516217101671,83.05162876459741
5,85.23924794787325,78.31167412908158,80.64305470190534
6,86.09285987295925,81.8390302500819,83.90442532267977
7,86.62977995377028,82.84372611117178,86.37830362630608
8,86.78630580783721,82.90378945069345,85.61001843884449
9,87.41604936024608,78.80310145244076,80.00921942224953
10,90.0569681306081,89.13399585016927,91.46819299323909
11,90.6648708661704,89.2049797968767,91.62953288260601
12,90.77589501847369,89.08485311783335,91.7678242163491
13,90.96700216588101,89.13399585016927,91.64105716041794
14,91.02706441220903,88.86644097411816,91.4720344191764
15,91.37105727754219,89.51075679807798,92.09818684695759
16,91.56034435687896,89.5325980124495,92.02135832821142
17,91.6222266712775,89.41793163699901,92.12507682851874
18,91.49118177019821,89.49983619089221,92.02135832821142
19,91.55306408459677,89.47799497652069,91.99830977258758
20,91.63314707970078,89.52167740526373,92.04056545789796
21,91.6258668074186,89.4233919405919,92.08282114320835
22,91.6895691898877,89.47253467292782,92.08282114320835
23,91.64224742005351,89.46707436933494,92.09818684695759
24,91.61494639899533,89.4506934585563,92.09818684695759
0,21.624228746155108,25.28666593862619,25.02688998156115
1,52.82019547531078,61.83793818936333,65.33881376767056
2,73.11031432575578,61.64136726001965,60.521665642286415
3,78.76890595708281,66.55564049361145,68.17762753534112
4,81.11133356387529,65.621928579229,66.49508297480024
5,82.39994175782175,76.43332969313093,79.25245851259987
6,83.7595326065195,78.15332532488807,79.9477566072526
7,84.43113772455091,77.89123075242983,81.45359557467732
8,84.74782956882588,80.36474828000438,82.80577750460971
9,85.33753162368272,78.0932619853664,80.31653349723416
10,88.37522523342373,87.5341268974555,89.50522433927473
11,89.03955007917297,87.5341268974555,89.62046711739397
12,89.3107402216843,87.68701539805613,89.45528580208972
13,89.40356369328214,87.67609479087038,89.51674861708665
14,89.52004804979707,87.71977721961342,89.46681007990165
15,89.88406166390624,87.97641148847876,89.82790411800859
16,89.97506506743352,87.94364966692149,89.84711124769514
17,90.05878819867864,87.9381893633286,89.80869698832205
18,90.07698887938409,87.94910997051436,89.68192993239089
19,90.06606847096083,88.01463361362892,89.75107559926244
20,90.15525180641757,88.03101452440755,89.77796558082359
21,90.21531405274558,88.00917331003603,89.76644130301167
22,90.17163241905249,88.06923664955771,89.79333128457283
23,90.18437289554629,88.05285573877907,89.80485556238474
24,90.15343173834702,88.05285573877907,89.79717271051013
0,23.912054310831227,37.25019111062575,39.25937307928703
1,57.09189523688186,66.25532379600307,65.96112476951444
2,73.08847350890923,63.23031560554767,64.37077443146896
3,77.7369273610833,75.0409522769466,74.38921327596803
4,79.67529985621464,78.2243092715955,78.6839274738783
5,81.20597710354367,71.480834334389,74.12799631223109
6,82.22885535919043,77.51446980452114,78.84526736324523
7,82.89318020493967,76.31866331768047,77.3240626920713
8,83.19167136850919,76.11117178115103,75.31499692685925
9,84.16722785432175,73.75232062902698,74.20866625691455
10,87.43425004095154,87.04269957409632,88.80608481868468
11,88.04579291265495,87.08092169924649,88.94437615242778
12,88.286041897967,87.26657202140439,89.10955746773202
13,88.35156434850664,87.32117505733319,89.11724031960662
14,88.52811095134957,86.90073168068145,88.95205900430238
15,88.97766776477441,87.56688871901278,89.32851874615857
16,89.08687184900715,87.58326962979142,89.36309157959434
17,89.14693409533517,87.55596811182701,89.38614013521818
18,89.11599293813589,87.51228568308397,89.37077443146896
19,89.24157763500355,87.68155509446325,89.4399200983405
20,89.16149463989954,87.60511084416294,89.41303011677934
21,89.18697559288718,87.53958720104838,89.39766441303011
22,89.1833354567461,87.59419023697717,89.43223724646589
23,89.28889940483775,87.51228568308397,89.34388444990779
24,89.199716069381,87.5068253794911,89.38614013521818
0,24.49265602533535,33.42251829201704,35.62538414259373
1,45.44709972152959,50.40952276946599,49.99615857406269
2,61.98605827857963,63.47056896363438,65.35033804548249
3,69.65582512785979,70.43791634814896,70.48248309772586
4,74.26059734634076,70.60718575952824,71.68100799016595
5,77.03074094971153,70.481598776892,70.0138291333743
6,79.19298181751998,57.338648028830406,55.039950829747994
7,79.94648999872595,71.57365949546795,73.1138598647818
8,80.26136177493038,73.24451239488916,73.94744929317763
9,81.12225397229857,76.29682210330895,78.36124769514443
10,85.56504013250095,84.34530959921372,85.72141979102642
11,86.34220919862403,84.70568963634378,85.98263675476336
12,86.7535445825674,84.81489570820138,86.13245236631838
13,86.92645104926925,84.85311783335153,86.10940381069452
14,87.1430391496642,84.94048269083761,86.07867240319605
15,87.72546093223887,85.20257726329584,86.51275353411185
16,87.87834665016472,85.17527574533145,86.71250768285186
17,87.90382760315237,85.14797422736704,86.5818992009834
18,87.93112862421056,85.19711695970295,86.70482483097726
19,87.8656061736709,85.17527574533145,86.62415488629378
20,87.9729901898331,85.2134978704816,86.72019053472648
21,87.9930109386091,85.27356121000328,86.67793484941609
22,88.04215277651384,85.2954024243748,86.74323909035033
23,87.98209053018583,85.24625969203889,86.73555623847572
24,88.03487250423167,85.25718029922463,86.72019053472648
