Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,30.011102415230333,25.16107895598995,26.705593116164717
1,59.700052781974044,56.115540024025336,58.98509526736324
2,71.58509728263837,70.09391722179753,71.55039950829747
3,76.29361338114046,69.77175930981763,71.1739397664413
4,78.64514132828569,77.94583378835863,79.3638598647818
5,79.89006788853904,71.4535328164246,72.51459741856176
6,80.77098083468323,78.79764114884787,80.31269207129685
7,81.68647507416777,76.31866331768047,76.37523048555623
8,82.22703529111989,77.11040733864803,78.92209588199138
9,82.82037748211783,79.88424156383095,79.42148125384142
10,86.64434049833464,85.62302063994758,86.71250768285186
11,87.36508745427079,85.98340067707765,86.9199446834665
12,87.82374460804834,85.80321065851263,86.76244622003686
13,87.8255646761189,85.92333733755598,86.85848186846957
14,88.05489325300768,85.99978158785629,87.10433312845728
15,88.5408514278434,86.31101889265044,87.50768285187462
16,88.702837486122,86.29463798187179,87.40012292562999
17,88.67917660120489,86.25095555312876,87.40780577750459
18,88.73741877946236,86.24549524953588,87.4039643515673
19,88.65369564821725,86.27279676750027,87.45006146281499
20,88.83570245527184,86.24549524953588,87.4539028887523
21,88.77382014087327,86.30555858905755,87.4577443146896
22,88.77382014087327,86.25095555312876,87.49999999999999
23,88.8502629998362,86.29463798187179,87.52688998156115
24,88.84480279562456,86.2673364639074,87.4577443146896
0,25.732122381377064,25.565141421863057,27.12430854333128
1,56.11451868299875,55.64595391503768,52.48156115550092
2,68.46732067779335,69.29671289723709,70.88199139520589
3,73.83106128169194,71.35524735175277,71.1278426551936
4,76.51020148153542,72.95511630446653,71.76936078672402
5,78.32116921172853,75.50507808234138,74.62738168408113
6,79.23848351928363,74.57682647155181,72.68362015980331
7,80.29412300020022,78.63383204106148,79.12953288260601
8,80.67269715887375,73.70863820028394,73.85525507068223
9,80.95844784594945,77.93491318117287,77.86570374923171
10,85.05724114081868,84.65654690400787,85.58696988322065
11,86.00913674171414,84.88587965490882,85.82513829133373
12,86.222084705968,84.44359506388555,85.38337430854332
13,86.36222994740004,84.8367369225729,85.60617701290718
14,86.54423675445462,84.93502238724473,85.72526121696373
15,87.0593160184191,85.41552910341815,86.30531653349722
16,87.24678302968532,85.27902151359615,86.24769514443761
17,87.2540633019675,85.35546576389648,86.38214505224339
18,87.30866534408386,85.35000546030359,86.35141364474492
19,87.35052690970643,85.43737031778967,86.35525507068223
20,87.39966874761117,85.41006879982527,86.39366933005532
21,87.45427078972754,85.43191001419679,86.37062077443146
22,87.47429153850355,85.377306978268,86.389827904118
23,87.42514970059881,85.3991481926395,86.34757221880761
24,87.39238847532899,85.41552910341815,86.35141364474492
0,21.9336403181479,29.736813366823196,31.57652120467117
1,48.73232258886483,53.74576826471552,51.17931776275353
2,67.67559106710591,67.89341487386699,69.09956976029503
3,73.65269461077844,74.30927159550072,75.51475107559925
4,76.45195930327795,75.02457136616796,77.40089121081745
5,78.002657299383,76.95205853445451,77.2818070067609
6,79.56063556777025,77.00120126679043,76.61724031960662
7,80.06479442331144,77.4161843398493,77.92332513829133
8,80.84742369364615,78.74303811291908,79.36001843884449
9,81.11497370001639,77.14862946379819,80.14751075599261
10,85.59962142584133,85.02784754832369,86.50122925629992
11,86.39499117266986,85.43191001419679,86.6740934234788
12,86.64980070254627,85.59571912198318,86.67793484941609
13,86.8609285987296,85.377306978268,86.65872771972955
14,87.10663778825328,85.53019547886863,86.89305470190534
15,87.54163405711374,85.89057551599869,87.14274738783035
16,87.70726025153341,85.88511521240582,86.91610325752919
17,87.78188304242579,85.92879764114885,87.14274738783035
18,87.64901807327594,85.93425794474173,86.9237861094038
19,87.72910106837996,85.88511521240582,87.12354025814382
20,87.85286569717708,86.02162280222781,87.0198217578365
21,87.91838814771673,85.9451785519275,87.03518746158572
22,87.83648508454218,85.967019766299,87.03518746158572
23,87.90746773929345,85.97794037348476,87.03902888752305
24,87.91474801157564,86.00524189144917,86.97756607252612
0,25.95781082212475,32.86010702195042,35.283497234173325
1,60.43718035054512,61.90346183247789,62.82267977873386
2,74.21691571264766,68.14458883913946,70.92808850645359
3,78.60509983073368,71.48629463798187,73.31745543945912
4,80.54711246200608,78.66659386261875,79.70958819913952
5,81.51538867553647,80.4357322267118,83.09772587584511
6,82.63473053892216,76.67904335481053,76.73248309772586
7,83.56114518682999,79.59484547340833,82.67516902274123
8,84.18178839888613,83.20956645189472,85.81361401352181
9,84.18906867116831,79.21262422190674,81.62261831591886
10,87.53253371676101,87.10822321721088,89.60510141364473
11,88.3024225106019,87.21742928906848,89.43607867240318
12,88.49716979415031,87.40853991481926,89.62046711739397
13,88.59545346995978,87.40307961122639,89.87784265519359
14,88.73377864332127,87.34301627170471,89.96235402581438
