Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,57.59605409242307,75.11739652724691,70.4018131530424
1,85.61600203847625,85.59571912198318,85.28733866011062
2,88.09311468248913,87.86720541662116,87.40012292562999
3,89.84038003021314,88.58250518728842,88.26060233558695
4,90.46830351455145,90.1769138364093,89.95467117393976
5,90.98884298272756,90.98503876815552,90.94960049170251
6,91.4984620424804,90.34618324778859,89.93930547019052
7,91.81333381868482,90.14961231844491,88.92516902274123
8,92.00808110223323,89.3960904226275,88.64090350338046
9,92.25743042789802,91.21983182264934,91.84081130915796
10,93.92097264437692,93.48585781369444,93.97664413030115
11,94.28498625848607,93.6332860107022,94.06883835279655
12,94.49793422273993,93.5786829747734,94.17639827904118
13,94.56527674135013,93.82985694004586,94.09572833435772
14,94.66356041715962,93.61144479633067,94.11877688998155
15,94.84010702000255,93.68788904663099,94.26859250153656
16,94.96751178494077,93.87353936878891,94.29164105716042
17,95.05487505232696,93.75341268974555,94.35310387215733
18,94.96569171687021,93.89538058316043,94.31853103872156
19,94.99663287406949,93.84077754723162,94.27627535341118
20,95.00755328249278,93.61144479633067,94.31468961278425
21,95.06761552882078,93.81347602926724,94.29164105716042
22,94.98935260178732,93.86261876160314,94.25322679778732
23,95.10583695830225,93.84623785082451,94.27627535341118
24,95.00209307828113,93.70426995740964,94.33005531653349
