Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,47.54199807072785,77.67281860871465,77.90027658266749
1,89.18151538867555,89.53805831604237,89.9738783036263
2,92.26653076825075,92.17538495140329,91.48355869698831
3,93.54421855377392,93.12547777656438,91.69099569760294
4,94.39055020657773,94.88915583706455,93.18915181315303
5,95.21686111060555,94.78541006879982,92.10971112476952
6,95.8429645268733,95.5225510538386,92.20958819913952
7,96.28888120415704,95.86108987659713,92.62830362630608
8,96.85310230602624,96.13956535983401,92.09050399508297
9,97.15341353766631,96.19962869935569,92.7358635525507
10,98.98622208470597,98.03975101015617,93.10464044253226
11,99.60140509255046,98.10527465327073,93.08543331284572
12,99.79979251223996,98.15441738560664,92.95866625691455
13,99.85439455435635,98.17625859997815,93.08927473878302
14,99.88715577962617,98.20356011794256,93.08927473878302
15,99.9126367326138,98.19263951075679,93.00476336816226
16,99.90535646033162,98.20902042153544,93.0278119237861
17,99.91445680068435,98.19263951075679,92.97787338660109
18,99.92173707296654,98.19809981434969,92.96634910878917
19,99.93447754946035,98.20356011794256,92.95482483097726
20,99.93083741331927,98.18171890357104,92.93561770129071
21,99.92719727717817,98.15987768919953,92.87031346035648
22,99.92901734524871,98.15441738560664,92.88567916410571
23,99.93265748138981,98.18717920716392,92.85110633066994
24,99.92537720910762,98.19263951075679,92.8818377381684
0,49.80980288662796,63.055585890575514,65.30039950829747
1,84.48755983473782,85.42098940701102,85.11063306699445
2,87.87106637788253,86.74238287648794,84.59972341733251
3,89.35624192344794,88.30402970405154,86.3859864781807
4,90.1807327594052,90.52091296276073,90.13521819299322
5,90.78135522268533,89.30872556514143,89.71650276582666
6,91.22727189996907,90.79392814240472,90.70374923171481
7,91.64042735198296,89.8001528885006,89.96619545175169
8,91.98988042152777,91.39456153762148,91.38368162261831
9,92.22102906648709,92.01157584361691,92.52842655193606
10,93.88275121489545,93.30020749153654,93.90749846342962
11,94.24494476093408,93.37665174183685,94.20712968653963
12,94.4924740185283,93.50223872447309,94.09956976029501
13,94.58529749012614,93.62236540351644,94.17255685310386
14,94.68540123400616,93.67150813585235,94.26090964966195
