Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,42.527710536374066,71.35524735175277,68.90749846342962
1,80.79100158345922,81.69160205307415,78.03088506453595
2,85.81984966237738,86.71508135852353,86.6817762753534
3,87.60169630344176,85.90149612318444,84.8378918254456
4,88.722858234898,88.63164791962433,89.12876459741855
5,89.34896165116577,89.48345528011357,89.27858020897357
6,89.74937662668584,87.692475701649,87.99554394591271
7,90.2553555502976,89.52713770885661,90.26198524892439
8,90.3154177966256,89.53805831604237,88.4757221880762
9,90.75041406548605,89.17221797531944,89.53979717271051
10,92.60142329323118,92.71595500709839,92.89336201598033
11,93.02549915366836,92.85246259692039,92.94714197910264
12,93.27848861547422,92.73233591787704,93.0739090350338
13,93.44775494603499,92.96166866877799,93.10464044253226
14,93.41317365269461,92.81424047177023,92.95482483097726
15,93.60610086817248,93.10363656219286,93.13921327596803
16,93.71530495240522,93.18554111608606,93.12768899815612
17,93.71530495240522,92.95074806159222,93.11616472034419
18,93.7062046120525,93.08725565141422,93.14689612784265
19,93.87911107875435,93.20738233045758,93.16610325752919
20,93.78082740294488,93.05449382985694,93.21220036877689
21,93.90823216788309,93.13093808015725,93.15073755377996
22,93.77900733487434,92.93982745440647,93.08927473878302
23,93.83542944506125,93.10363656219286,93.14305470190534
24,93.69710427169977,92.99443049033526,93.13921327596803
