Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,47.54199807072785,77.67281860871465,77.90027658266749
1,89.18151538867555,89.53805831604237,89.9738783036263
2,92.26653076825075,92.17538495140329,91.48355869698831
3,93.54421855377392,93.12547777656438,91.69099569760294
4,94.39055020657773,94.88915583706455,93.18915181315303
5,95.21686111060555,94.78541006879982,92.10971112476952
6,95.8429645268733,95.5225510538386,92.20958819913952
7,96.28888120415704,95.86108987659713,92.62830362630608
8,96.85310230602624,96.13956535983401,92.09050399508297
9,97.15341353766631,96.19962869935569,92.7358635525507
10,98.98622208470597,98.03975101015617,93.10464044253226
11,99.60140509255046,98.10527465327073,93.08543331284572
12,99.79979251223996,98.15441738560664,92.95866625691455
13,99.85439455435635,98.17625859997815,93.08927473878302
14,99.88715577962617,98.20356011794256,93.08927473878302
15,99.9126367326138,98.19263951075679,93.00476336816226
16,99.90535646033162,98.20902042153544,93.0278119237861
17,99.91445680068435,98.19263951075679,92.97787338660109
18,99.92173707296654,98.19809981434969,92.96634910878917
19,99.93447754946035,98.20356011794256,92.95482483097726
20,99.93083741331927,98.18171890357104,92.93561770129071
21,99.92719727717817,98.15987768919953,92.87031346035648
22,99.92901734524871,98.15441738560664,92.88567916410571
23,99.93265748138981,98.18717920716392,92.85110633066994
24,99.92537720910762,98.19263951075679,92.8818377381684
0,42.527710536374066,71.35524735175277,68.90749846342962
1,80.79100158345922,81.69160205307415,78.03088506453595
2,85.81984966237738,86.71508135852353,86.6817762753534
3,87.60169630344176,85.90149612318444,84.8378918254456
4,88.722858234898,88.63164791962433,89.12876459741855
5,89.34896165116577,89.48345528011357,89.27858020897357
6,89.74937662668584,87.692475701649,87.99554394591271
7,90.2553555502976,89.52713770885661,90.26198524892439
8,90.3154177966256,89.53805831604237,88.4757221880762
9,90.75041406548605,89.17221797531944,89.53979717271051
10,92.60142329323118,92.71595500709839,92.89336201598033
11,93.02549915366836,92.85246259692039,92.94714197910264
12,93.27848861547422,92.73233591787704,93.0739090350338
13,93.44775494603499,92.96166866877799,93.10464044253226
14,93.41317365269461,92.81424047177023,92.95482483097726
