Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,43.53056804324482,76.88107458774708,76.28303626306085
1,82.74575469122546,85.14797422736704,83.77765826674862
2,87.50341262763229,85.86873430162717,84.55362630608482
3,89.1560344356879,87.91634814895708,86.79701905347265
4,90.07698887938409,89.15583706454079,88.27212661339888
5,90.98702291465702,89.5817407447854,89.94314689612783
6,91.56580456109059,90.81030905318336,91.03411186232329
7,92.08270389312561,91.10516544719887,89.84326982175783
8,92.28291138088565,91.92967128972371,92.65903503380454
9,92.61234370165444,91.5856721633723,91.1378303626306
