Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,47.54199807072785,77.67281860871465,77.90027658266749
1,89.18151538867555,89.53805831604237,89.9738783036263
2,92.26653076825075,92.17538495140329,91.48355869698831
3,93.54421855377392,93.12547777656438,91.69099569760294
4,94.39055020657773,94.88915583706455,93.18915181315303
5,95.21686111060555,94.78541006879982,92.10971112476952
6,95.8429645268733,95.5225510538386,92.20958819913952
7,96.28888120415704,95.86108987659713,92.62830362630608
8,96.85310230602624,96.13956535983401,92.09050399508297
9,97.15341353766631,96.19962869935569,92.7358635525507
10,98.98622208470597,98.03975101015617,93.10464044253226
11,99.60140509255046,98.10527465327073,93.08543331284572
12,99.79979251223996,98.15441738560664,92.95866625691455
13,99.85439455435635,98.17625859997815,93.08927473878302
14,99.88715577962617,98.20356011794256,93.08927473878302
15,99.9126367326138,98.19263951075679,93.00476336816226
16,99.90535646033162,98.20902042153544,93.0278119237861
17,99.91445680068435,98.19263951075679,92.97787338660109
18,99.92173707296654,98.19809981434969,92.96634910878917
19,99.93447754946035,98.20356011794256,92.95482483097726
20,99.93083741331927,98.18171890357104,92.93561770129071
21,99.92719727717817,98.15987768919953,92.87031346035648
22,99.92901734524871,98.15441738560664,92.88567916410571
23,99.93265748138981,98.18717920716392,92.85110633066994
24,99.92537720910762,98.19263951075679,92.8818377381684
0,24.80752780153978,29.1962433111281,29.056545789797173
1,39.748466592650566,33.07305886207273,20.36339889366933
2,58.44056567715633,52.56634268865349,47.68746158574062
3,67.58094752743753,61.390193294747185,57.67901044867855
4,71.70340170722386,67.11259146008518,63.905961893054695
5,74.0239884971698,72.2616577481708,67.34403810694529
6,75.46548240904211,75.39587201048379,71.77320221266133
7,76.15710827584951,73.51752757453315,71.73478795328826
8,76.90333618477332,72.40362564158568,67.73202212661339
9,77.91711410006735,69.9956317571257,70.29041180086047
10,81.62095262362813,82.02468057223982,79.1717885679164
11,82.16697304479187,81.53325324888064,79.13337430854332
12,82.43634311923267,82.12842634050453,80.17824216349108
13,82.5528274757476,82.7017582177569,80.40104486785495
14,82.8585989115993,82.34683848421972,80.74677320221265
