Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,21.367599148208143,33.679152560882386,34.903196066379834
1,70.29466902062138,83.59178770339632,82.32175783650891
2,87.0119942485849,87.73615813039206,88.04932390903502
3,89.76029703510912,88.27126788249427,89.16333743085433
4,90.97428243816319,91.05602271486295,91.47587584511369
5,91.95893926432849,91.71125914600852,92.10202827289488
6,92.59960322516064,69.82090204215355,70.79363859864782
7,92.9162950694356,92.69411379272687,92.58604794099568
8,93.27120834319203,91.83684612864475,91.86385986478179
9,93.69346413555868,92.7705580430272,93.24293177627536
10,94.98935260178732,95.02566342688654,94.61816226183159
11,95.3024043099212,95.34782133886644,94.69114935464043
12,95.57177438436199,95.20585344545157,94.88322065150582
13,95.5644941120798,95.40242437479523,94.84480639213275
14,95.75378119141656,95.62083651851043,94.94468346650275
15,95.82476384616785,95.4406464999454,94.92547633681622
16,95.90120670513078,95.62083651851043,94.8678549477566
17,96.04681215077444,95.62629682210331,94.87169637369391
18,95.99039004058753,95.56623348258164,94.7218807621389
19,96.0249713339279,95.82832805503986,94.88322065150582
20,95.93942813461224,95.59353500054604,94.85248924400736
21,95.84842473108495,95.75188380473955,95.02535341118622
22,95.98674990444643,95.67543955443922,94.81023355869698
23,95.93214786233005,95.64267773288195,94.92163491087892
24,95.97764956409371,95.58807469695316,94.75261216963736
