Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,55.140782265256725,77.2796767500273,72.86416717885679
1,86.5751779116539,87.5614284154199,87.04671173939765
2,89.27069872413229,89.01386917112592,89.08266748617086
3,90.58842800720748,90.91405482144808,91.25691456668714
4,91.43839979615238,90.20967565796659,90.85740626920712
5,91.8679358608012,91.13246696516326,92.52458512599875
6,92.29383178930892,92.07709948673146,92.95098340503995
7,92.70516717325229,91.84776673583052,91.99830977258758
8,92.90901479715342,91.61843398492955,92.66671788567916
9,93.13106310176002,92.33373375559681,92.9240934234788
10,94.59257776240833,93.97728513705363,94.53365089121081
11,95.19320022568844,94.0919515125041,94.4337738168408
12,95.37520703274302,93.89538058316043,94.50291948371235
13,95.44982982363541,94.21753849514033,94.6757836508912
14,95.50989206996341,94.18477667358304,94.49139520590042
15,95.6755182643831,94.19023697717593,94.64889366933005
16,95.82476384616785,94.2503003166976,94.68346650276582
17,95.93578799847114,94.22845910232608,94.68346650276582
18,95.93760806654169,94.24484001310472,94.66041794714198
19,95.83750432266167,94.14109424484002,94.64505224339274
20,95.95580874724715,94.13017363765425,94.7257221880762
21,95.88846622863696,94.32674456699792,94.69499078057775
22,95.89210636477804,94.19023697717593,94.68346650276582
23,95.81748357388567,94.23937970951185,94.73340503995082
24,95.94306827075333,94.07557060172546,94.68346650276582
