Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,47.54199807072785,77.67281860871465,77.90027658266749
1,89.18151538867555,89.53805831604237,89.9738783036263
2,92.26653076825075,92.17538495140329,91.48355869698831
3,93.54421855377392,93.12547777656438,91.69099569760294
4,94.39055020657773,94.88915583706455,93.18915181315303
5,95.21686111060555,94.78541006879982,92.10971112476952
6,95.8429645268733,95.5225510538386,92.20958819913952
7,96.28888120415704,95.86108987659713,92.62830362630608
8,96.85310230602624,96.13956535983401,92.09050399508297
9,97.15341353766631,96.19962869935569,92.7358635525507
10,98.98622208470597,98.03975101015617,93.10464044253226
11,99.60140509255046,98.10527465327073,93.08543331284572
12,99.79979251223996,98.15441738560664,92.95866625691455
13,99.85439455435635,98.17625859997815,93.08927473878302
14,99.88715577962617,98.20356011794256,93.08927473878302
15,99.9126367326138,98.19263951075679,93.00476336816226
16,99.90535646033162,98.20902042153544,93.0278119237861
17,99.91445680068435,98.19263951075679,92.97787338660109
18,99.92173707296654,98.19809981434969,92.96634910878917
19,99.93447754946035,98.20356011794256,92.95482483097726
20,99.93083741331927,98.18171890357104,92.93561770129071
21,99.92719727717817,98.15987768919953,92.87031346035648
22,99.92901734524871,98.15441738560664,92.88567916410571
23,99.93265748138981,98.18717920716392,92.85110633066994
24,99.92537720910762,98.19263951075679,92.8818377381684
0,53.7502502593597,79.81325761712351,77.08205285802089
1,86.89915002821105,88.41323577590914,89.09035033804548
2,89.75483683089747,89.35240799388447,90.169791026429
3,90.93970114482282,90.47723053401769,89.80101413644745
4,91.83153449939029,90.73386480288305,91.49892440073755
5,92.24833008754528,91.88598886098067,93.12000614628148
6,92.4794787325046,92.32281314841106,92.74354640442532
7,93.1146824891251,91.62935459211532,92.80885064535956
8,93.05826037893817,91.47646609151468,92.65903503380454
9,93.37859235935426,92.31189254122529,92.37092808850645
10,94.89470906211893,93.85715845801028,94.58743085433312
11,95.31150465027393,93.82985694004586,94.91395205900429
12,95.6045356096318,93.80801572567435,94.90242778119237
13,95.6554975156071,94.10833242328273,94.9177934849416
14,95.74650091913438,94.11379272687562,94.94468346650275
