Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,37.21857197459185,62.37304794146554,60.09142593730792
1,79.93920972644378,80.73058862072732,80.66226183159188
2,85.83987041115338,86.60587528666595,86.06714812538414
3,87.95114937298656,87.24473080703288,87.51920712968652
4,88.9612871521395,88.25488697171564,88.22602950215119
5,89.70205485685166,87.85628480943541,88.54870928088505
6,90.20985384853394,89.76193076335043,89.42839582052858
7,90.53018582895001,89.37424920825599,89.73570989551321
8,90.89783957920027,89.64180408430708,90.70759065765212
9,91.05254536519666,89.96396199628698,89.98156115550091
10,92.9563365669876,92.46478104182593,93.0777504609711
11,93.52601787306845,92.86884350769903,93.24293177627536
12,93.54057841763283,92.65043136398384,93.58866011063306
13,93.8172287643558,92.81424047177023,93.52719729563613
14,93.84998998962561,92.91252593644207,93.64628149969268
15,94.1230002002075,93.23468384842198,93.55792870313459
16,94.15576142547731,93.1200174729715,93.58866011063306
17,94.16122162968895,93.07087474063557,93.66164720344192
18,94.19762299109988,93.10363656219286,93.72695144437616
19,94.22128387601697,93.15277929452877,93.65012292562999
20,94.1193600640664,92.80331986458448,93.6539643515673
21,94.19398285495878,93.15823959812167,93.65012292562999
22,94.26678557778061,92.9289068472207,93.6539643515673
23,94.27224578199225,93.10363656219286,93.71926859250152
24,94.21764373987588,93.0381129190783,93.70006146281499
