Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,47.54199807072785,77.67281860871465,77.90027658266749
1,89.18151538867555,89.53805831604237,89.9738783036263
2,92.26653076825075,92.17538495140329,91.48355869698831
3,93.54421855377392,93.12547777656438,91.69099569760294
4,94.39055020657773,94.88915583706455,93.18915181315303
5,95.21686111060555,94.78541006879982,92.10971112476952
6,95.8429645268733,95.5225510538386,92.20958819913952
7,96.28888120415704,95.86108987659713,92.62830362630608
8,96.85310230602624,96.13956535983401,92.09050399508297
9,97.15341353766631,96.19962869935569,92.7358635525507
10,98.98622208470597,98.03975101015617,93.10464044253226
11,99.60140509255046,98.10527465327073,93.08543331284572
12,99.79979251223996,98.15441738560664,92.95866625691455
13,99.85439455435635,98.17625859997815,93.08927473878302
14,99.88715577962617,98.20356011794256,93.08927473878302
15,99.9126367326138,98.19263951075679,93.00476336816226
16,99.90535646033162,98.20902042153544,93.0278119237861
17,99.91445680068435,98.19263951075679,92.97787338660109
18,99.92173707296654,98.19809981434969,92.96634910878917
19,99.93447754946035,98.20356011794256,92.95482483097726
20,99.93083741331927,98.18171890357104,92.93561770129071
21,99.92719727717817,98.15987768919953,92.87031346035648
22,99.92901734524871,98.15441738560664,92.88567916410571
23,99.93265748138981,98.18717920716392,92.85110633066994
24,99.92537720910762,98.19263951075679,92.8818377381684
0,37.24769306372058,55.64595391503768,46.308389674247074
1,79.4441512112553,71.57365949546795,62.61908420405654
2,85.75614727990828,83.1877252375232,78.03088506453595
3,87.85468576524764,84.08321502675548,82.64827904118009
4,88.64277523979396,85.42098940701102,83.87753534111862
5,89.52186811786761,86.88435076990281,84.20789797172709
6,89.91318275303497,87.38669870044775,86.97756607252612
7,90.36819977067142,87.6105711477558,86.33604794099568
8,90.62118923247729,89.56535983400677,89.29394591272279
9,90.86507835393044,89.19405918969095,87.66902274124155
10,92.62508417814827,92.8470022933275,92.79348494161032
11,93.28758895582695,92.78147865021296,92.7858020897357
12,93.36221174671934,92.85246259692039,92.88952059004302
13,93.53329814535064,92.89068472207055,93.17762753534112
14,93.70256447591142,93.0654144370427,93.06238475722188
