Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,48.848806945379756,73.74140002184122,71.25845113706207
1,85.97091531223269,86.829747733974,88.45651505838966
2,89.01042899004423,87.86174511302829,87.83420405654579
3,90.87781883042426,89.88751774598668,90.96880762138905
4,91.70776987059317,90.65196024898985,91.90995697602949
5,92.15550661594744,90.75570601725455,91.90227412415489
6,92.71608758167557,91.65665611007972,92.739704978488
7,92.95815663505816,92.48116195260457,93.81146281499691
8,93.20568589265238,91.40002184121437,91.86385986478179
9,93.5114573285041,92.37741618433985,94.16871542716656
10,95.17317947691244,94.00458665501802,95.00230485556239
11,95.60999581384344,93.91176149393907,95.08681622618315
12,95.74286078299329,94.07011029813258,94.96389059618929
13,95.91576724969515,93.99366604783226,95.15212046711738
14,96.0013104490108,94.2503003166976,95.15212046711738
15,96.29434140836868,94.16839576280441,95.12523048555623
16,96.34348324627342,94.20661788795456,95.11754763368161
17,96.30344174872141,94.19569728076881,95.14059618930546
18,96.29616147643922,94.0919515125041,95.11754763368161
19,96.37442440347269,94.32674456699792,95.14059618930546
20,96.42356624137743,94.17931636999018,95.13291333743085
21,96.45086726243562,94.16293545921154,95.11370620774431
22,96.51820978104581,94.24484001310472,95.12523048555623
23,96.4818084196349,94.22845910232608,95.1060233558697
24,96.50000910034035,94.01550726220378,95.09834050399508
0,29.9382996924085,65.12504095227695,62.73816840811308
1,83.0770070800648,84.58556295730043,84.69191763982789
2,88.782920481226,87.65425357649886,89.05577750460971
3,90.50106473982127,89.101234028612,89.59741856177013
4,91.41291884316473,89.04117068909031,89.69729563614013
5,92.03720219136197,90.71202358851153,91.30301167793485
6,92.49767941321005,91.86960795020204,92.32483097725876
7,92.86715323153086,91.7440209675658,93.05854333128455
8,93.0036583368218,92.17538495140329,93.65780577750459
9,93.37859235935426,91.92967128972371,92.66287645974185
10,94.90562947054221,93.99366604783226,94.89474492931775
11,95.44254955135322,94.23391940591898,95.01767055931161
12,95.57541452050307,94.15747515561866,95.19053472649045
13,95.92122745390678,94.18477667358304,94.94852489244006
14,95.92122745390678,94.21753849514033,95.06760909649661
15,96.15965637114829,94.22299879873322,95.14443761524277
16,96.27614072766322,94.28852244184776,95.13675476336816
17,96.24883970660504,94.44687124604128,95.17516902274123
18,96.27614072766322,94.41410942448401,95.25199754148738
19,96.22335875361739,94.27214153106914,95.20205900430238
20,96.25611997888721,94.24484001310472,95.18285187461585
21,96.40172542453088,94.20661788795456,95.1559618930547
22,96.36532406311996,94.27760183466201,95.17516902274123
23,96.26886045538103,94.14655454843289,95.21358328211431
24,96.35622372276724,94.41410942448401,95.19437615242778
0,40.471033616657266,73.79054275417714,75.75291948371235
1,84.6895873905684,83.19864584470896,82.87876459741855
2,88.8702837486122,88.77361581303921,89.2478488014751
3,90.45374296998709,89.56535983400677,89.68961278426552
4,91.34193618841346,90.5045320519821,90.97264904732636
5,92.0590430082085,90.70110298132576,91.86385986478179
6,92.40121580547113,91.42732335917877,91.65642286416717
7,92.73428826238101,92.03341705798842,92.65903503380454
8,92.98909779225744,91.29627607294965,91.97526121696373
9,93.27484847933313,91.79316369990171,92.80116779348492
10,94.90380940247167,93.64420661788796,94.71803933620158
11,95.34790601168484,93.61690509992356,94.76413644744929
12,95.59725533734962,93.85715845801028,95.02151198524892
13,95.74650091913438,93.92268210112482,94.93700061462815
14,95.86480534371987,94.0919515125041,94.96773202212661
15,96.18513732413592,94.0919515125041,94.96773202212661
16,96.11597473745519,94.10833242328273,95.0138291333743
17,96.2433795023934,93.7970951184886,95.00614628149968
18,96.1996978687003,94.02096756579667,94.98693915181315
19,96.22335875361739,94.05372938735394,94.90242778119237
20,96.26704038731049,93.9827454406465,94.95620774431468
21,96.27432065959268,94.0100469586109,94.92547633681622
22,96.1996978687003,94.13563394124714,94.94468346650275
23,96.18149718799484,94.20661788795456,94.96389059618929
24,96.18877746027702,94.05372938735394,94.99462200368775
0,42.029011885044504,69.27487168286557,64.28626306084819
1,84.04346322552463,86.11444796330676,87.38475722188076
2,88.92670585879912,87.692475701649,86.49354640442532
3,90.41916167664671,88.52790215135961,88.48340503995082
4,91.41291884316473,90.41716719449602,91.45666871542716
5,91.98442021731613,90.49907174838921,91.53733866011062
6,92.39029539704785,90.95227694659823,92.65519360786723
7,92.79799064485013,90.79392814240472,91.97141979102642
8,93.16928453124147,91.62389428852245,92.96634910878917
9,93.19294541615857,91.64027519930109,91.90995697602949
10,94.91472981089494,94.12471333406137,94.74492931776275
11,95.46439036819979,94.2503003166976,94.99846342962506
12,95.65003731139545,94.19023697717593,94.95236631837739
13,95.9339679304006,94.10833242328273,94.82944068838351
14,95.94306827075333,94.40864912089111,95.02919483712353
15,96.16147643921883,94.32674456699792,95.1060233558697
16,96.24519957046395,94.30490335262641,95.18285187461585
17,96.2634002511694,94.24484001310472,95.19053472649045
18,96.35804379083778,94.36496669214809,95.13291333743085
19,96.2797808638043,94.28306213825489,95.2059004302397
20,96.34530331434397,94.41956972807688,95.17516902274123
21,96.2597601150283,94.41410942448401,95.17901044867855
22,96.35076351855561,94.35404608496233,95.16364474492931
23,96.34530331434397,94.50147428197008,95.17901044867855
24,96.38170467575488,94.4414109424484,95.18285187461585
0,36.2557559652731,68.34115976848312,63.82145052243392
1,82.18881386163844,84.79305449382986,83.94668100799015
2,88.1750177456637,89.24320192202687,89.75875845113706
3,90.00782629270336,89.84383531724363,89.9738783036263
4,90.906939919553,90.31888172982417,89.71650276582666
5,91.70230966638154,91.78770339630884,92.35172095881991
6,92.08270389312561,91.26897455498526,92.97019053472648
7,92.56866206796136,91.72764005678717,91.51429010448678
8,92.79435050870903,92.62859014961232,93.30823601720958
9,93.25482773055714,91.94059189690947,92.25568531038721
10,94.8018855905211,93.78071420770995,94.59895513214505
11,95.36064648817867,94.09741181609698,94.84864781807006
12,95.52445261452779,94.24484001310472,94.91395205900429
13,95.75378119141656,94.13017363765425,94.87169637369391
14,95.77744207633366,94.26122092388337,94.96004917025199
15,96.05227235498607,94.22845910232608,94.92931776275353
16,96.0650128314799,94.25576062029049,95.00998770743699
17,96.16511657535992,94.37042699574096,94.99078057775046
18,96.16147643921883,94.40318881729824,95.02919483712353
19,96.14327575851337,94.15201485202577,95.0138291333743
20,96.18513732413592,94.37042699574096,95.02151198524892
21,96.26158018309884,94.31036365621928,95.07145052243392
22,96.23791929818177,94.23391940591898,95.03687768899815
23,96.27796079573376,94.28306213825489,95.0138291333743
24,96.17603698378319,94.31582395981216,95.05224339274739
