Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,27.317401670822488,41.42186305558589,42.497695144437614
1,64.6852192271991,70.33963088347713,72.36862323294406
2,79.24758385963635,71.22420006552365,72.03441917639827
3,82.5091458420545,72.74216446434421,76.1677934849416
4,84.2327503048614,80.46303374467621,81.30762138905962
5,85.40487414229293,80.98722288959266,83.40888137676706
6,85.7889085051781,82.76728186087146,84.22326367547633
7,86.34584933476512,80.2992246368898,79.45989551321449
8,86.58973845621827,82.42874303811291,84.7879532882606
9,87.15395955808748,83.12220159440865,85.33727719729562
10,89.8385599621426,89.55989953041389,91.26075599262445
11,90.48286405911583,89.16129736813367,91.0417947141979
12,90.7322133847806,89.49437588729934,91.33758451137062
13,90.96154196166937,89.69640712023589,91.30685310387216
14,91.00340352729192,89.69640712023589,91.54886293792255
15,91.33647598420181,89.98580321065852,91.67562999385372
16,91.4347596600113,89.88751774598668,91.70636140135218
17,91.3910780263182,89.98580321065852,91.74861708666256
18,91.5021021786215,90.00218412143715,91.74477566072525
19,91.47298108949275,89.98034290706563,91.69483712354025
20,91.58764537793715,90.0458665501802,91.62953288260601
21,91.52212292739749,89.95850169269411,91.64874001229255
22,91.55124401652623,89.9093589603582,91.65258143822986
23,91.56034435687896,90.00218412143715,91.62953288260601
24,91.5385035400324,89.89843835317244,91.65642286416717
0,26.68037784613145,33.029376433329695,36.082513829133376
1,54.86413191853375,54.02424374795238,58.05162876459742
2,71.02815645305135,54.41738560663973,49.57744314689612
3,78.002657299383,72.34902260565687,72.0497848801475
4,80.8219427406585,62.40580976302282,63.318223724646586
5,82.60742951786398,77.80932619853664,78.9720344191764
6,84.05438363394792,69.48236321939501,67.56299938537185
7,84.54580201299528,80.4684940482691,82.00291948371235
8,84.94985712465648,81.38036474828002,83.32821143208359
9,85.48859727353803,80.37020858359725,82.19883220651505
10,88.75925959630891,87.78530086272796,89.43607867240318
11,89.58375043226617,88.19482363219396,89.86247695144436
12,89.89680214040006,87.9381893633286,89.76644130301167
13,89.99508581620952,88.30949000764443,89.77412415488628
14,90.08608921973682,88.16752211422956,89.72418561770128
15,90.52290555666782,88.66440974118161,90.11601106330669
16,90.71401270407515,88.63710822321721,90.17747387830362
17,90.65031032160603,88.69171125914602,90.15826674861708
18,90.75405420162714,88.69717156273889,90.19283958205286
19,90.70491236372241,88.61526700884569,90.08912108174553
20,90.81229637988461,88.73539368788906,90.27350952673632
21,90.85051780936607,88.71901277711041,90.25430239704978
22,90.78317529075588,88.72447308070329,90.20052243392746
23,90.78135522268533,88.75723490226056,90.19668100799015
24,90.84687767322498,88.78453642022497,90.19668100799015
0,27.179076497461008,37.32663536092607,35.517824216349105
1,59.181333381868484,54.84328928688436,59.40765212046711
2,72.3404255319149,69.69531505951731,69.3761524277812
3,76.91971679740823,74.2874303811292,75.99492931776275
4,79.54243488706479,73.94889155837065,74.78872157344806
5,80.58169375534645,79.58392486622256,81.08866011063306
6,81.5645305134412,78.42088020093917,78.93746158574062
7,82.37628087290464,78.53008627279678,79.7518438844499
8,82.92958156635059,78.11510319973792,77.07821143208359
9,83.04424585479498,74.38571584580103,74.7579901659496
10,86.98287315945616,86.49120891121547,88.04548248309771
11,87.73092113645052,86.40930435732227,87.94944683466503
12,88.09311468248913,86.92803319864585,88.44499078057775
13,88.26966128533208,86.88435076990281,88.4718807621389
14,88.37158509728265,87.00447744894616,88.8137676705593
15,88.98312796898604,87.23381019984711,88.86754763368162
16,89.12145314234753,87.30479414655456,88.909803318992
17,89.10689259778316,87.26657202140439,88.91748617086662
18,89.14511402726463,87.38669870044775,88.86754763368162
19,89.19789600131045,87.35939718248335,88.87907191149354
20,89.09961232550097,87.29387353936879,88.90212046711738
21,89.23611743079192,87.28295293218304,88.89827904118009
22,89.19607593323991,87.30479414655456,88.86370620774431
23,89.14693409533517,87.33755596811183,88.89059618930546
24,89.18697559288718,87.3976193076335,88.909803318992
0,26.256301985694268,36.922572895052966,36.81238475722188
1,62.486576997979725,54.7777656437698,55.174400737553775
2,76.65944706332017,78.42088020093917,77.33558696988322
3,80.69089783957921,78.15332532488807,79.1218500307314
4,82.50004550170176,66.16795893851697,65.29271665642285
5,83.79593396793041,79.13071966801354,79.48294406883835
6,84.39473636313998,77.89669105602272,77.97326367547633
7,85.15916495276925,82.8382658075789,84.88398893669329
8,85.43763536756275,83.33515343453097,85.77135832821142
9,85.6178221065468,77.54177132248553,77.7581438229871
10,89.22155688622755,89.06847220705471,90.28503380454825
11,89.78213785195567,89.2049797968767,90.6038721573448
12,90.15343173834702,89.16675767172654,90.60003073140749
13,90.19893344011066,89.23228131484112,90.67301782421634
14,90.31359772855505,89.43431254777767,90.64612784265519
15,90.91058005569408,89.73462924538605,91.06868469575906
16,90.89783957920027,89.5325980124495,91.04947756607253
17,90.94152121289338,89.59266135197117,91.08020897357099
